"count"	"b2a"	"b2b"
1	0	3.141593
2	6.778355	24.737767
3	5.521773	20.094695
4	-8.896075	7.231739
5	-0.393546	1.568794
6	0.298722	0.414974
7	3.540308	-2.604291
8	1.331411	1.095939
9	-4.874678	0.831105
10	-5.43924	-3.41926
11	-7.702842	-11.28083
12	-0.844139	-7.108832
13	0.457474	5.997167
14	6.117694	0.855131
15	0.655904	5.767045
16	-1.012575	6.231141
17	-8.197203	7.228552
18	-1.834059	4.183534
19	6.839578	-2.28259
20	0.985295	0.507281
21	-3.954806	-2.821067
22	5.308763	-5.442783
23	-8.422347	0.399595
24	4.555681	-0.146237
25	-15.651869	-1.90577
26	-9.01196	1.53876
27	-11.021941	-0.403768
28	7.393729	-4.055015
29	0.101434	2.803894
30	-6.490803	3.885112
31	-1.341069	4.650233
32	-2.544389	2.642901
33	-5.783515	0.531807
34	-7.222774	0.936113
35	-6.657232	-4.78348
36	-6.621175	5.183327
37	-2.853235	-1.724517
38	7.815133	7.70323
39	2.448103	7.628408
40	0.705999	1.93949
41	-1.93262	-1.829835
42	6.956522	-0.310111
43	-1.328442	-6.401388
44	-1.832894	0.760572
45	1.690329	2.562572
46	-1.243919	5.269411
47	-1.770527	-1.723112
48	-1.759661	1.300362
49	-2.418099	-9.530897
50	-3.6129	-0.35583
51	-1.078039	1.876902
52	1.759389	-0.058223
53	3.052395	2.599301
54	0.596377	-4.566446
55	-1.352165	-4.056243
56	-1.318338	0.524197
57	2.128282	0.096098
58	5.548613	1.403891
59	9.016002	6.001403
60	4.676174	6.061914
61	5.091115	1.613646
62	3.572292	1.929287
63	6.78996	-2.633945
64	7.584005	-4.4226
65	5.929862	-4.367344
66	5.44847	-8.347438
67	8.728561	-6.571652
68	4.72416	-7.644137
69	2.846193	-6.179561
70	-3.290722	-4.092033
71	-4.506097	-2.227808
72	-5.756821	-4.067524
73	-3.592756	-2.417751
74	-2.289404	-6.324155
75	-3.335553	-7.793895
76	1.671364	-7.121692
77	-0.880186	-6.398721
78	-2.895942	-3.304327
79	-2.813154	-2.793728
80	7.678269	-3.435123
81	11.90758	-3.13543
82	9.486914	1.924324
83	7.608786	-2.304189
84	1.570666	3.427429
85	1.500173	1.571359
86	2.240176	1.474476
87	3.200536	1.605134
88	-3.143274	-0.912015
89	-0.154764	0.342805
90	-0.376068	-0.61643
91	-1.033863	-0.15581
92	4.001444	5.085912
93	6.579619	7.492326
94	9.772817	5.362616
95	9.120807	4.104996
96	9.641856	4.050907
97	9.831335	8.982854
98	8.386581	6.597308
99	8.310937	8.902294
100	5.616396	1.085511
101	6.785709	1.431134
102	2.556226	0.46102
103	6.376132	4.646556
104	2.572991	6.07928
105	2.050116	0.75821
106	-4.709192	-2.027016
107	-5.89775	-4.956453
108	-8.199101	-4.095055
109	-5.236392	-3.408119
110	-4.101797	-5.3607
111	-2.490193	2.139999
112	-5.015937	1.025867
113	-4.49987	5.544878
114	-3.825999	6.30251
115	-3.502547	4.952918
116	-4.404237	0.541143
117	-3.30003	6.249764
118	-0.189434	3.681915
119	-0.848553	-1.051701
120	-3.374207	1.234599
121	-3.384787	3.748581
122	-3.259537	-1.39108
123	-3.468699	5.512578
124	-3.266672	3.902018
125	-3.718425	6.098439
126	-1.226313	3.040517
127	-0.686589	2.326807
128	-1.010236	1.940985
129	-1.859005	-3.491289
130	-1.84277	-3.299614
131	-0.877182	-8.12478
132	-5.022112	-8.20802
133	-4.094997	-7.973421
134	-1.594831	-8.393234
135	-1.011817	-8.665123
136	-1.946966	-7.888512
137	-3.090814	-7.820521
138	-0.005103	-8.703265
139	-1.21209	-8.779258
140	-1.055155	-8.912553
141	0.07971	-7.366362
142	1.798737	-2.424803
143	-1.903008	-2.021239
144	-1.664344	-1.190052
145	-1.771016	-3.524668
146	-6.140088	-4.8474
147	-4.41107	-4.825348
148	-6.014731	-6.711591
149	-6.684672	-8.139018
150	-5.779374	-2.752952
151	-4.724839	-0.354549
152	-1.025498	0.278981
153	0.459208	-1.872242
154	-1.000268	-0.861272
155	-5.230066	-1.818549
156	-8.132983	-1.740483
157	-10.14088	-3.844481
158	0.615346	0.089954
159	-0.129376	1.197605
160	-0.467425	-0.217409
161	1.20995	-0.26321
162	0.158692	0.739367
163	-2.466846	0.961795
164	-2.559007	1.719784
165	-6.026399	0.256857
166	-5.64947	2.647634
167	-7.358413	0.283755
168	-9.289462	2.615747
169	-11.569647	1.28032
170	-7.871359	-4.394164
171	-4.242743	-5.171981
172	-4.837144	-8.730827
173	-2.772871	-5.455938
174	-2.592419	-4.694404
175	0.133462	-7.748629
176	-1.461517	-5.851347
177	-1.091932	0.718327
178	-1.842572	0.389932
179	-7.409853	-3.718598
180	2.076765	-1.105236
181	3.212112	-4.957201
182	6.340716	-3.784298
183	-0.799025	-3.189161
184	-0.956449	1.009357
185	-2.774201	-1.178538
186	-8.870865	1.676494
187	-9.324397	1.83326
188	-2.554833	6.982762
189	9.031524	7.167968
190	0.636901	-1.909362
191	3.126958	-2.696505
192	0.537938	-2.770528
193	-10.758572	-2.142753
194	-13.195574	-4.799248
195	-10.449658	-0.844697
196	-10.12275	-0.522502
197	-3.678867	2.599299
198	-2.251711	2.896541
199	-5.158025	2.096344
200	-1.853975	-1.250936
201	3.762636	-5.102016
202	-1.391195	-4.821153
203	-9.007365	-3.897514
204	-6.353573	-0.919467
205	0.189674	-1.097381
206	5.040796	-1.2318
207	0.930386	0.443861
208	0.424689	1.090592
209	2.741159	-3.271414
210	0.741461	-5.497429
211	-2.857087	-3.74056
212	-3.215721	-2.19576
213	6.174348	-2.236869
214	-2.257348	-2.294359
215	3.011089	-1.445025
216	2.456836	-2.39413
217	1.220205	-4.656065
218	1.028823	-0.839787
219	0.726629	2.648738
220	-8.351448	1.782874
221	1.256614	1.674262
222	0.570664	0.541491
223	1.843668	1.022589
224	2.093033	-0.651944
225	5.034793	-1.336106
226	-2.828047	-1.069035
227	-6.419173	0.656163
228	-1.53433	1.488829
229	-9.302563	2.769161
230	-4.167487	2.848516
231	-5.342907	4.266737
232	-0.648348	-1.374814
233	4.051446	-0.295132
234	2.06537	-1.447007
235	-3.655205	-0.390507
236	1.929396	-1.913799
237	-0.158244	-4.34526
238	-3.949333	-5.025363
239	-4.063515	-5.708022
240	2.670698	-5.023641
241	1.641263	-1.053311
242	-0.387029	-1.749546
243	1.377981	-1.82881
244	-1.226713	-4.408893
245	-2.95427	-5.56519
246	-3.77901	-5.475985
247	-0.845258	-3.797742
248	-7.48038	-6.655716
249	-7.174941	-5.277402
250	-0.79718	-5.432928
251	-0.548583	-6.304771
252	0.137295	-7.248616
253	0.779171	-8.043514
254	-2.965091	-10.70936
255	0.705527	-8.135426
256	0.312857	-4.194967
257	-1.439102	-3.842523
258	3.355856	-2.485334
259	2.254353	0.588551
260	-9.889822	4.894577
261	8.70861	-0.442635
262	-8.522396	-6.997671
263	9.942833	-6.764181
264	7.116534	-5.666594
265	-2.5479	-3.329539
266	6.228681	-4.780009
267	5.956203	0.993653
268	9.527095	0.518817
269	-6.647801	-3.093976
270	-5.552533	-5.106152
271	-3.538813	-5.613111
272	-1.884393	-1.356238
273	0.891525	-2.710715
274	-7.234129	-4.277635
275	-8.090787	-3.899216
276	-3.008055	-5.801909
277	-0.439996	-5.676316
278	-1.488154	-2.950112
279	3.423021	-3.056081
280	11.014854	0.430267
281	4.085765	2.810959
282	2.151931	2.336422
283	1.329476	1.590529
284	3.689762	1.659326
285	8.577386	2.065457
286	7.456255	2.285378
287	2.266404	3.237765
288	-4.06171	7.27435
289	-5.211155	7.446934
290	8.002882	9.719755
291	7.77784	9.612807
292	-3.373014	2.911276
293	0.305193	2.229402
294	-5.00997	-0.518842
295	-3.660109	1.797098
296	0.98113	-1.864359
297	2.502087	0.186998
298	5.078342	-2.119727
299	2.726682	2.649299
300	2.007827	4.001776
301	2.670657	3.049011
302	-3.009572	9.964843
303	3.662354	5.823873
304	4.457796	1.713622
305	2.004603	0.133206
306	-0.091851	-11.426524
307	3.810019	-9.722356
308	1.927874	-9.258512
309	3.043605	-11.874264
310	-1.504279	-12.789333
311	4.667425	-11.902578
312	-0.741079	-11.037613
313	5.60247	-10.976956
314	-2.806656	-6.868248
315	-1.48476	-6.492589
316	-8.17763	-5.526497
317	-2.4119	-6.715111
318	-0.867955	-7.396194
319	6.924745	-7.584497
320	2.033498	-5.261199
321	-1.446068	-1.648598
322	-4.054091	1.566906
323	-4.377412	1.25929
324	1.786363	-1.578922
325	1.694937	-1.243474
326	2.259587	1.134525
327	-2.996508	0.463954
328	-3.562374	-1.565332
329	-0.837678	-3.219121
330	1.389322	-4.21413
331	-2.746144	-7.796339
332	3.159969	-7.672954
333	4.362897	-7.134846
334	0.529739	-3.462969
335	-0.273038	5.607362
336	4.702612	2.396438
337	-4.531248	0.588423
338	-3.791714	5.677653
339	4.287271	3.348642
340	6.699886	-9.367316
341	-5.382679	-10.560951
