"Error.rad"	"Maze"	"Learn"
"1"	0.282917871748281	"0"	9
"2"	5.8787925194925	"0"	9
"3"	5.2930600225232	"0"	9
"4"	0.282917871748281	"0"	9
"5"	5.97984708318297	"0"	13
"6"	0.061261056745001	"0"	13
"7"	6.12977086592928	"0"	13
"8"	0.450469479939736	"0"	13
"9"	5.9082885838512	"0"	9
"10"	6.17462582770554	"0"	9
"11"	0.412770368096659	"0"	9
"12"	6.09887853816898	"0"	9
"13"	6.16694637899676	"0"	10
"14"	0.375071256253581	"0"	10
"15"	0.214675497995303	"0"	10
"16"	5.69623107973389	"0"	10
"17"	6.26957173901403	"0"	9
"18"	6.08526497000343	"0"	9
"19"	0.897448301375484	"0"	9
"20"	0.653451271946677	"0"	9
"21"	0.174183859349034	"0"	15
"22"	5.61821486216975	"0"	15
"23"	5.99939477080531	"0"	15
"24"	6.0943406821138	"0"	15
"25"	0.515046662263527	"0"	9
"26"	5.59482745019302	"0"	9
"27"	6.19906043723346	"0"	9
"28"	6.24967498554129	"0"	9
"29"	5.93569025310751	"0"	15
"30"	0.886103661237521	"0"	15
"31"	6.08037804809785	"0"	15
"32"	5.63095576570931	"0"	15
"33"	5.78332300940841	"0"	10
"34"	6.00829594999048	"0"	10
"35"	0.169995069144248	"0"	10
"36"	5.88612290235088	"0"	10
"37"	4.73438012895982	"0"	10
"38"	0.259181393921158	"0"	10
"39"	5.88280677677209	"0"	10
"40"	0.405963584013881	"0"	10
"41"	5.70844838449785	"1"	18
"42"	6.26992080486443	"1"	18
"43"	6.05733970197152	"1"	18
"44"	5.61699313169335	"1"	18
"45"	5.43670061996234	"1"	14
"46"	5.43565342241114	"1"	14
"47"	6.24094833928132	"1"	14
"48"	4.33696865828071	"1"	14
"49"	4.92688994545479	"1"	12
"50"	0.16301375213627	"1"	12
"51"	6.08893016143262	"1"	12
"52"	0.106988683147252	"1"	12
"53"	6.16136132539038	"1"	9
"54"	5.30806985409035	"1"	9
"55"	5.86168829282296	"1"	9
"56"	5.48469717439218	"1"	9
"57"	5.0464449992164	"1"	10
"58"	0.515395728113926	"1"	10
"59"	0.485026999129224	"1"	10
"60"	0.194778744522567	"1"	10
"61"	6.05821236659752	"1"	17
"62"	0.752411440534755	"1"	17
"63"	5.47422519888021	"1"	17
"64"	0.0902335223281068	"1"	17
"65"	0.216595360172496	"1"	15
"66"	5.55643020664915	"1"	15
"67"	5.64980532163084	"1"	15
"68"	0.0294960643587042	"1"	15
"69"	5.77738888995163	"1"	21
"70"	0.392699081698724	"1"	21
"71"	6.18073448008752	"1"	21
"72"	0.853116938374828	"1"	21
"73"	5.29672521395239	"1"	16
"74"	5.21835993053785	"1"	16
"75"	5.41488400431241	"1"	16
"76"	4.50556746402336	"1"	16
"77"	5.62694150842972	"1"	13
"78"	0.441393767829366	"1"	13
"79"	0.807214779047377	"1"	13
"80"	0.776846050062676	"1"	13
